Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
DAO Maker (DAO),$0.8819,+0.12%,+0.41%,+3.19%,"$81,102,170","$1,201,853 (1,362,753 DAO)","92,074,259 DAO"
Vulcan Forged PYR (PYR),$2.98,+1.57%,+4.43%,-6.65%,"$80,698,351","$11,090,092 (3,726,930 PYR)","27,182,227 PYR"
MX TOKEN (MX),$0.8068,-0.20%,-0.37%,+0.95%,"$80,677,921","$1,134,224 (1,405,872 MX)","100,000,000 MX"
dYdX (DYDX),$1.20,-0.59%,-1.14%,-26.81%,"$78,648,184","$63,751,521 (52,948,818 DYDX)","65,569,295 DYDX"
Illuvium (ILV),$40.41,+0.08%,+0.44%,-8.30%,"$77,708,392","$4,190,769 (103,879 ILV)","1,923,226 ILV"
Fetch.ai (FET),$0.09494,+1.31%,-4.81%,-7.63%,"$77,748,881","$31,047,652 (328,408,347 FET)","818,912,300 FET"
Synapse (SYN),$0.5537,+1.16%,+29.19%,-1.19%,"$77,398,300","$2,931,085 (5,285,344 SYN)","139,773,376 SYN"
Radicle (RAD),$1.58,-0.60%,-2.57%,+5.88%,"$77,259,935","$5,442,113 (3,440,818 RAD)","48,829,981 RAD"
aelf (ELF),$0.1455,+0.04%,+0.36%,+4.15%,"$76,059,118","$3,794,649 (26,095,265 ELF)","522,739,629 ELF"
Ontology Gas (ONG),$0.2301,+0.39%,+0.29%,-9.84%,"$75,422,733","$1,723,589 (7,501,389 ONG)","327,807,147 ONG"
Numeraire (NMR),$12.64,-0.22%,-2.86%,-7.25%,"$74,410,886","$6,598,022 (521,591 NMR)","5,888,504 NMR"
Wrapped TRON (WTRX),$0.05509,-0.45%,-0.20%,-1.42%,"$5,600,118,026","$1,239,101 (22,493,080 WTRX)","101,676,082,428 WTRX"
Lido Staked ETH (stETH),"$1,187.81",-0.48%,+1.24%,-4.76%,"$4,135,733,582","$7,955,113 (6,697 STETH)","3,487,728 stETH"
HEX (HEX),$0.02373,-0.32%,-2.51%,-11.86%,"$4,130,564,175","$2,961,599 (124,827,132 HEX)","173,411,074,413 HEX"
Frax (FRAX),$0.9987,-0.14%,+0.10%,+0.21%,"$1,021,372,986","$2,091,165 (2,093,987 FRAX)","1,022,743,133 FRAX"
Wrapped BNB (WBNB),$245.74,-0.11%,+0.16%,-6.68%,"$914,424,990","$46,997,936 (191,254 WBNB)","3,712,406 WBNB"
Bitcoin BEP2 (BTCB),"$16,821.59",-0.03%,+0.13%,-3.76%,"$899,723,787","$2,775,059 (165 BTCB)","53,468 BTCB"
BitTorrent (BTTOLD),$0.0006642,-0.09%,+0.89%,+3.65%,"$658,448,090","$203,192 (305,939,154 BTTOLD)","990,000,000,000 BTTOLD"
Huobi BTC (HBTC),"$16,819.42",+0.05%,+0.30%,-3.46%,"$655,276,688","$113,240 (7 HBTC)","38,969 HBTC"
Tether Gold (XAUT),"$1,776.31",+0.19%,-0.94%,+0.47%,"$438,218,058","$1,240,921 (699 XAUT)","246,524 XAUT"
Radix (XRD),$0.03491,+0.12%,-0.29%,-9.76%,"$351,049,229","$242,954 (6,960,184 XRD)","10,060,299,876 XRD"
GensoKishi Metaverse (MV),$0.1848,+0.76%,-3.02%,-11.84%,"$317,005,631","$561,238 (3,036,353 MV)","1,709,312,901 MV"
FTX Token (FTT),$0.9574,+0.15%,+8.61%,-29.12%,"$314,305,747","$25,236,531 (26,359,760 FTT)","328,895,112 FTT"
USDJ (USDJ),$1.06,-0.02%,-0.11%,+0.67%,"$281,960,052","$1,191,495 (1,122,919 USDJ)","265,600,543 USDJ"
Bitget Token (BGB),$0.1873,+0.04%,-2.55%,-0.52%,"$261,152,796","$3,225,791 (17,219,797 BGB)","1,400,000,000 BGB"
NXM (NXM),$38.42,+0.03%,+0.70%,-7.31%,"$253,076,571","$64,146 (1,669 NXM)","6,594,068 NXM"
T-mac DAO (TMG),$0.249,+0.00%,+0.40%,-3.86%,"$249,005,780","$69,093 (277,470 TMG)","1,000,000,000 TMG"
DeFiChain (DFI),$0.4479,+0.06%,-0.56%,-7.18%,"$228,456,896","$1,767,209 (3,945,803 DFI)","510,738,161 DFI"
Rocket Pool (RPL),$19.61,+0.26%,+2.32%,-4.59%,"$201,986,449","$746,004 (38,033 RPL)","10,279,742 RPL"
Liquity USD (LUSD),$1.02,+0.02%,+0.07%,-0.17%,"$186,284,875","$628,229 (615,211 LUSD)","181,998,689 LUSD"
Telcoin (TEL),$0.002188,+0.20%,+0.41%,-8.10%,"$141,874,093","$554,910 (253,638,915 TEL)","64,743,700,558 TEL"
LINK (LN),$22.13,+0.02%,-1.46%,-6.57%,"$138,599,921","$893,168 (40,368 LN)","6,262,618 LN"
STASIS EURO (EURS),$1.05,+0.09%,-0.34%,-0.30%,"$130,789,396","$593,551 (563,310 EURS)","124,125,940 EURS"
ZEON (ZEON),$0.004245,-0.03%,+0.02%,+6.96%,"$129,587,191","$561,782 (132,348,746 ZEON)","30,529,103,436 ZEON"
Bitgert (BRISE),$0.0000003271,+3.56%,+1.18%,-13.46%,"$128,108,785","$1,270,563 (3,884,774,774,651 BRISE)","395,688,215,721,653 BRISE"
Safe (SAFE),$6.07,-0.66%,-1.83%,-13.30%,"$124,801,287",--,"20,835,499 SAFE"
Creditcoin (CTC),$0.5875,-2.67%,-4.92%,+22.36%,"$124,869,301","$36,201,640 (61,625,045 CTC)","207,254,279 CTC"
Baby Doge Coin (BabyDoge),$0.0...09647,+0.58%,+2.71%,-9.88%,"$109,731,209","$2,251,755 (2,334,201,368,966,045 BABYDOGE)","115,113,333,036,839,008 BabyDoge"
Venus USDC (vUSDC),$0.02177,+0.01%,+0.01%,+0.05%,"$103,833,746","$4,076,217 (187,271,203 VUSDC)","4,771,015,133 vUSDC"
Merit Circle (MC),$0.3077,+0.17%,-2.86%,-18.57%,"$99,027,494","$3,022,382 (9,821,978 MC)","322,101,826 MC"
USDX [Kava] (USDX),$0.8633,+0.29%,-0.49%,-2.54%,"$96,899,226","$266,503 (308,692 USDX)","111,567,264 USDX"
VVS Finance (VVS),$0.000003082,-0.10%,+0.66%,-7.00%,"$94,654,023","$405,761 (131,672,154,971 VVS)","30,716,884,728,181 VVS"
Veritaseum (VERI),$42.62,+0.34%,-0.79%,-8.30%,"$91,319,180","$9,893 (232 VERI)","2,149,646 VERI"
WEMIX (WEMIX),$0.3633,+0.54%,+1.96%,-14.76%,"$89,914,305","$1,452,928 (3,999,518 WEMIX)","247,083,941 WEMIX"
LUKSO (LYXe),$5.78,+0.92%,+3.63%,+2.43%,"$88,097,424","$1,072,664 (185,540 LYXE)","15,405,916 LYXe"
Kaspa (KAS),$0.005514,+0.01%,-0.84%,-5.24%,"$84,121,149","$1,759,244 (319,040,941 KAS)","15,352,974,761 KAS"
DeXe (DEXE),$2.29,+0.08%,+0.98%,-5.31%,"$83,495,268","$2,693,820 (1,174,648 DEXE)","36,472,592 DEXE"
AVINOC (AVINOC),$0.2135,+0.04%,+0.72%,+7.69%,"$82,978,601","$406,909 (1,905,905 AVINOC)","389,244,472 AVINOC"
Anyswap (ANY),$4.39,+0.18%,+4.16%,+6.49%,"$82,073,898","$13,495 (3,076 ANY)","18,639,320 ANY"
Sologenic (SOLO),$0.1881,-1.01%,-2.47%,+23.36%,"$75,554,624","$1,314,301 (6,988,168 SOLO)","399,947,699 SOLO"
Ergo (ERG),$1.26,-0.14%,+1.09%,-11.14%,"$74,095,991","$715,932 (566,205 ERG)","58,638,426 ERG"
Nervos Network (CKB),$0.002208,+0.19%,+2.84%,-9.27%,"$73,439,341","$2,822,138 (1,278,286,183 CKB)","33,340,068,750 CKB"
MetisDAO (METIS),$16.65,+0.09%,-1.39%,-7.12%,"$73,394,620","$2,447,034 (146,931 METIS)","4,404,390 METIS"
Celer Network (CELR),$0.01035,-0.03%,+0.42%,-12.93%,"$73,082,637","$2,962,064 (286,201,815 CELR)","7,085,488,367 CELR"
Chromia (CHR),$0.1064,+0.13%,+1.05%,-14.10%,"$72,791,050","$4,497,166 (42,254,334 CHR)","686,549,902 CHR"
MVL (MVL),$0.003281,-0.10%,-0.29%,-4.58%,"$73,123,218","$2,236,530 (681,578,158 MVL)","22,252,958,863 MVL"
WINkLink (WIN),$0.00007525,-0.10%,-1.01%,-13.77%,"$72,226,758","$9,070,715 (120,543,767,146 WIN)","961,737,300,000 WIN"
Hooked Protocol (HOOK),$1.44,-0.12%,-2.13%,-23.39%,"$72,233,576","$19,924,895 (13,812,678 HOOK)","50,000,000 HOOK"
Pirate Chain (ARRR),$0.3671,-0.11%,+4.05%,-4.56%,"$71,678,175","$76,464 (208,300 ARRR)","194,979,742 ARRR"
Persistence (XPRT),$0.5219,-0.15%,-2.88%,-6.51%,"$71,426,616","$277,265 (531,224 XPRT)","136,704,742 XPRT"
Function X (FX),$0.1727,+0.05%,-2.53%,-4.13%,"$70,533,792","$387,384 (2,242,771 FX)","408,520,357 FX"
Ardor (ARDR),$0.07033,+1.36%,-6.83%,-3.53%,"$69,786,641","$16,895,709 (240,221,043 ARDR)","998,999,495 ARDR"
Mdex (MDX),$0.07498,+0.12%,+2.05%,-7.95%,"$70,096,976","$3,197,486 (42,643,769 MDX)","935,246,078 MDX"
MobileCoin (MOB),$0.9391,-0.31%,+0.35%,-11.25%,"$69,777,147","$2,501,805 (2,664,165 MOB)","74,218,324 MOB"
Acala Token (ACA),$0.1218,-0.19%,+1.27%,-3.35%,"$69,391,323","$1,944,154 (15,959,036 ACA)","571,172,222 ACA"
dKargo (DKA),$0.02881,+0.20%,-1.14%,-8.20%,"$69,103,288","$12,732,618 (441,989,161 DKA)","2,402,083,333 DKA"
Biconomy (BICO),$0.2693,+0.22%,+1.93%,-12.47%,"$68,542,648","$3,146,461 (11,682,924 BICO)","255,027,524 BICO"
Keep Network (KEEP),$0.07959,+1.52%,+1.80%,-6.49%,"$66,478,131","$258,157 (3,243,473 KEEP)","860,762,270 KEEP"
LooksRare (LOOKS),$0.1458,+1.58%,-1.07%,-13.03%,"$68,028,396","$4,280,564 (29,358,650 LOOKS)","469,539,052 LOOKS"
Prom (PROM),$4.14,+0.24%,+0.21%,-10.11%,"$67,931,338","$1,944,265 (470,179 PROM)","16,450,000 PROM"
Cartesi (CTSI),$0.1036,-0.11%,+1.66%,-11.14%,"$67,406,014","$3,294,936 (31,765,291 CTSI)","651,062,666 CTSI"
FUNToken (FUN),$0.006116,+0.07%,-0.20%,-4.43%,"$67,022,123","$1,970,974 (321,985,669 FUN)","10,962,808,529 FUN"
Steem (STEEM),$0.1584,-0.03%,+0.32%,-8.63%,"$66,938,519","$2,314,831 (14,611,807 STEEM)","422,683,155 STEEM"
Orbs (ORBS),$0.02316,-0.38%,+1.29%,-4.33%,"$66,370,433","$2,068,481 (89,305,118 ORBS)","2,876,767,039 ORBS"
Rakon (RKN),$0.2739,+0.03%,-3.97%,+7.54%,"$66,375,570","$4,462 (16,291 RKN)","242,857,143 RKN"
NEST Protocol (NEST),$0.02282,-0.48%,+0.82%,-3.40%,"$66,386,772","$2,119,245 (92,835,571 NEST)","2,911,743,948 NEST"
MOBOX (MBOX),$0.3921,-0.28%,-1.93%,-10.29%,"$66,376,617","$4,923,183 (12,570,631 MBOX)","169,297,336 MBOX"
Decentralized Social (DESO),$7.31,+0.07%,-1.42%,-18.31%,"$64,935,493","$323,204 (44,200 DESO)","8,884,536 DESO"
COTI (COTI),$0.05819,+0.24%,+0.32%,-14.17%,"$64,313,627","$2,850,379 (48,877,418 COTI)","1,108,643,952 COTI"
OriginTrail (TRAC),$0.1752,+0.03%,+0.19%,-18.90%,"$64,027,696","$1,134,977 (6,469,153 TRAC)","365,481,590 TRAC"
CEEK VR (CEEK),$0.07909,-0.28%,+0.48%,-14.97%,"$63,804,181","$5,669,204 (71,607,414 CEEK)","805,717,779 CEEK"
Powerledger (POWR),$0.1326,+1.82%,+1.50%,-8.47%,"$63,607,489","$9,067,743 (68,560,569 POWR)","481,021,125 POWR"
renBTC (RENBTC),"$17,744.58",+0.02%,-0.12%,+0.35%,"$63,470,141","$59,860 (3 RENBTC)","3,580 RENBTC"
NuCypher (NU),$0.09049,-0.08%,+0.45%,-11.29%,"$63,713,487","$2,138,509 (23,732,117 NU)","703,000,000 NU"
Stratis (STRAX),$0.4378,+0.43%,+2.77%,-6.43%,"$63,135,075","$18,759,673 (42,871,874 STRAX)","144,320,337 STRAX"
Centrifuge (CFG),$0.1716,+0.13%,-2.04%,-14.01%,"$61,815,696","$341,281 (1,985,768 CFG)","360,263,043 CFG"
Shentu (CTK),$0.6948,+0.04%,+1.37%,-7.90%,"$60,927,192","$1,813,962 (2,604,026 CTK)","87,752,193 CTK"
Biswap (BSW),$0.1704,-0.14%,-0.57%,-13.82%,"$61,078,954","$3,266,137 (19,176,071 BSW)","358,785,429 BSW"
Dent (DENT),$0.0006129,-0.14%,+0.95%,-12.47%,"$60,628,607","$5,171,566 (8,428,764,052 DENT)","99,007,791,203 DENT"
RACA (RACA),$0.0001833,+0.38%,+0.94%,-11.23%,"$60,545,904","$3,328,340 (18,175,998,563 RACA)","330,733,771,075 RACA"
Hashflow (HFT),$0.3443,+0.08%,+1.37%,-18.56%,"$60,176,295","$24,917,825 (72,286,179 HFT)","174,649,193 HFT"
Locus Chain (LOCUS),$0.02877,+0.13%,-0.32%,-9.24%,"$59,833,946","$710,361 (24,694,425 LOCUS)","2,081,062,787 LOCUS"
Alpha Venture DAO (ALPHA),$0.07959,-0.16%,+1.73%,-14.86%,"$59,543,757","$1,601,530 (20,098,562 ALPHA)","750,000,000 ALPHA"
IQ (IQ),$0.004746,+0.08%,-0.17%,-12.42%,"$59,394,589","$6,549,519 (1,380,394,986 IQ)","12,521,015,157 IQ"
Ren (REN),$0.05922,+0.04%,-4.22%,-31.26%,"$58,972,602","$13,529,462 (228,441,795 REN)","999,037,500 REN"
Krypton DAO (KRD),$0.5765,-4.22%,-31.16%,-58.16%,"$58,353,078","$177,787 (308,381 KRD)","102,457,125 KRD"
Venus BUSD (vBUSD),$0.02177,-0.01%,-0.00%,+0.01%,"$58,663,080","$15,473,551 (710,871,360 VBUSD)","2,694,770,470 vBUSD"
Galxe (GAL),$1.08,-0.74%,+3.48%,-22.68%,"$58,232,481","$11,188,960 (10,391,858 GAL)","54,267,333 GAL"
Bifrost (BFC),$0.05357,+0.08%,-0.84%,-15.01%,"$58,046,930","$373,959 (6,980,460 BFC)","1,088,467,441 BFC"
MiL.k (MLK),$0.2303,+0.01%,-2.53%,-11.04%,"$58,088,636","$1,478,051 (6,418,646 MLK)","252,387,956 MLK"
Ultra (UOS),$0.19,+0.15%,+1.86%,-9.05%,"$57,693,487","$471,771 (2,482,356 UOS)","303,793,578 UOS"
RSK Smart Bitcoin (RBTC),"$16,896.50",+0.58%,+0.37%,-3.70%,"$57,638,000","$26,395 (2 RBTC)","3,415 RBTC"
cVault.finance (CORE),"$5,736.44",-0.40%,+0.08%,+0.41%,"$57,364,368","$31,455 (5 CORE)","10,000 CORE"
Polymesh (POLYX),$0.1425,+1.32%,+0.63%,-15.70%,"$57,469,483","$3,101,103 (21,738,047 POLYX)","403,259,917 POLYX"
Humanscape (HUM),$0.08072,+0.04%,+18.71%,-16.71%,"$70,341,953","$3,782,036 (57,385,580 HUM)","871,409,623 HUM"
Spell Token (SPELL),$0.0005331,-0.34%,+0.92%,-14.14%,"$57,253,745","$25,270,263 (47,426,700,958 SPELL)","107,405,628,969 SPELL"
Loom Network (LOOM),$0.04383,-0.06%,+2.15%,-8.21%,"$56,981,243","$8,046,408 (183,505,557 LOOM)","1,300,000,000 LOOM"
NKN (NKN),$0.08068,-0.49%,-0.15%,-2.85%,"$56,477,817","$1,774,043 (21,961,903 NKN)","700,000,000 NKN"
Band Protocol (BAND),$1.60,-0.57%,-0.10%,-18.12%,"$56,163,603","$13,509,016 (8,443,746 BAND)","35,191,821 BAND"
Vai (VAI),$0.9774,-0.05%,+0.61%,-0.00%,"$56,198,191","$5,996 (6,137 VAI)","57,498,554 VAI"
Bancor (BNT),$0.3454,-0.08%,+0.43%,-5.75%,"$56,068,260","$4,856,762 (14,036,784 BNT)","162,310,957 BNT"
Phala Network (PHA),$0.1232,-0.02%,+0.90%,-13.30%,"$55,793,798","$9,648,857 (78,291,141 PHA)","453,425,971 PHA"
HI (HI),$0.01926,-2.64%,-12.25%,-21.28%,"$55,486,314","$647,851 (33,628,871 HI)","2,898,698,243 HI"
SingularityNET (AGIX),$0.04855,-0.47%,-0.57%,-7.42%,"$55,636,789","$2,238,983 (46,120,045 AGIX)","1,146,035,625 AGIX"
Velas (VLX),$0.02312,+0.24%,-3.12%,-0.20%,"$55,294,189","$1,058,359 (45,774,128 VLX)","2,391,831,826 VLX"
WazirX (WRX),$0.1439,-0.31%,-1.35%,-9.88%,"$54,982,338","$560,657 (3,895,099 WRX)","381,856,872 WRX"
MaidSafeCoin (MAID),$0.1209,+1.09%,-4.15%,-26.55%,"$54,684,720","$2,415 (19,968 MAID)","452,552,412 MAID"
RichQUACK.com (QUACK),$0.000000001224,+1.42%,+1.70%,-4.23%,"$53,950,098","$4,822,440 (3,938,353,850,924,307 QUACK)","44,085,961,274,152,304 QUACK"
Venus (XVS),$3.76,+0.04%,+0.91%,-7.94%,"$53,462,432","$1,452,752 (386,756 XVS)","14,272,678 XVS"
Orbit Chain (ORC),$0.0843,-0.29%,+1.45%,-5.31%,"$53,440,657","$579,728 (6,876,667 ORC)","634,841,234 ORC"
Wrapped Velas (WVLX),$0.02336,-0.22%,-0.87%,+1.67%,"$53,239,901","$4,401 (188,397 WVLX)","2,279,175,680 WVLX"
Hifi Finance (Old) (MFT),$0.005322,+0.42%,+1.47%,-19.81%,"$53,065,945","$12,108,566 (2,274,993,169 MFT)","10,000,000,000 MFT"
Liquity (LQTY),$0.5923,-0.20%,+0.83%,-2.43%,"$53,181,782","$415,082 (700,762 LQTY)","89,664,769 LQTY"
Augur (REP),$4.79,+1.14%,+1.85%,-10.31%,"$52,731,085","$4,851,191 (1,011,969 REP)","11,000,000 REP"
sUSD (SUSD),$0.9964,-0.09%,-0.37%,-1.13%,"$52,546,071","$7,383,770 (7,410,476 SUSD)","52,569,893 SUSD"
Morpheus.Network (MNW),$1.10,+0.36%,-1.94%,-8.12%,"$51,613,664","$201,318 (182,279 MNW)","47,180,014 MNW"
Metal DAO (MTL),$0.7738,-0.93%,+15.25%,+4.94%,"$51,493,233","$57,655,199 (74,504,733 MTL)","66,588,888 MTL"
Star Atlas DAO (POLIS),$0.3361,-2.71%,-2.91%,-19.92%,"$51,243,608","$177,519 (528,219 POLIS)","153,005,849 POLIS"
World Mobile Token (WMT),$0.1549,+0.06%,+0.64%,-11.95%,"$51,152,692","$897,247 (5,790,893 WMT)","330,341,468 WMT"
Stargate Finance (STG),$0.3754,+0.24%,+0.80%,-1.61%,"$50,990,014","$4,475,851 (11,923,798 STG)","136,122,450 STG"
Origin Dollar (OUSD),$0.9975,+0.04%,-0.01%,-0.04%,"$50,951,491","$41,873 (41,977 OUSD)","51,069,721 OUSD"
Reef (REEF),$0.002432,-0.41%,-1.89%,-19.22%,"$50,614,172","$12,711,204 (5,227,503,366 REEF)","20,913,993,035 REEF"
inSure DeFi (SURE),$0.001897,+1.34%,-0.06%,-11.27%,"$50,779,591","$726,858 (383,231,560 SURE)","26,790,063,175 SURE"
XSGD (XSGD),$0.7384,+0.61%,-0.41%,+0.68%,"$50,499,136","$567,858 (769,030 XSGD)","68,375,772 XSGD"
Wrapped Everscale (WEVER),$0.02934,+0.10%,-0.06%,-17.01%,"$50,318,374","$58,024 (1,977,356 WEVER)","1,715,103,154 WEVER"
Ampleforth (AMPL),$1.09,-0.05%,+0.26%,-9.90%,"$50,459,310","$386,729 (353,958 AMPL)","46,031,113 AMPL"
Everscale (EVER),$0.0292,-0.02%,-5.06%,-15.80%,"$50,364,931","$2,091,152 (71,611,415 EVER)","1,715,103,154 EVER"
QuarkChain (QKC),$0.007798,-0.07%,+0.46%,-9.35%,"$49,878,664","$862,790 (110,635,947 QKC)","6,399,906,497 QKC"
Volt Inu V2 (VOLT),$0.000000896,-0.02%,+1.15%,-14.24%,"$49,031,790","$5,228,042 (5,834,804,298,207 VOLT)","54,766,287,142,827 VOLT"
Orchid (OXT),$0.07041,-0.01%,-1.79%,-13.71%,"$48,647,865","$1,526,080 (21,674,194 OXT)","690,690,084 OXT"
Revain (REV),$0.0005686,-0.07%,-0.26%,-9.99%,"$48,387,367","$776,120 (1,365,071,959 REV)","85,061,485,690 REV"
AXEL (AXEL),$0.1708,-0.03%,+0.16%,+5.22%,"$48,318,912","$22,410 (131,209 AXEL)","283,102,718 AXEL"
Conflux (CFX),$0.02285,-0.14%,-0.42%,-14.50%,"$47,720,655","$960,858 (42,047,922 CFX)","2,090,735,404 CFX"
Clash of Lilliput (COL),$0.5812,-2.31%,+20.08%,-2.77%,"$47,438,012","$246,855 (424,721 COL)","81,874,400 COL"
DFI.Money (YFII),"$1,220.88",+0.16%,+1.06%,-11.85%,"$47,086,646","$11,753,943 (9,627 YFII)","38,596 YFII"
Constellation (DAG),$0.03717,-0.39%,+4.11%,-14.56%,"$47,088,125","$179,981 (4,842,688 DAG)","1,266,911,931 DAG"
Dero (DERO),$3.58,-0.58%,-1.68%,-7.77%,"$47,005,286","$65,480 (18,297 DERO)","13,137,250 DERO"
STP (STPT),$0.02843,+0.31%,+0.63%,-7.83%,"$46,888,771","$2,605,779 (91,647,657 STPT)","1,648,670,278 STPT"
Sun (New) (SUN),$0.005224,-0.12%,-0.57%,-6.65%,"$46,756,348","$6,363,346 (1,218,201,050 SUN)","8,959,920,972 SUN"
JOE (JOE),$0.1431,+0.26%,+0.28%,-13.29%,"$46,624,289","$1,391,387 (9,720,026 JOE)","325,718,033 JOE"
XYO (XYO),$0.003623,+0.24%,+0.86%,-23.62%,"$46,284,416","$237,218 (65,481,442 XYO)","12,844,821,266 XYO"
Concordium (CCD),$0.007705,-0.21%,-3.36%,-1.95%,"$46,489,756","$766,209 (99,441,863 CCD)","6,033,553,684 CCD"
ONUS (ONUS),$0.4754,+0.09%,-0.63%,+3.57%,"$46,128,819","$20,366 (42,836 ONUS)","97,106,390 ONUS"
Aavegotchi (GHST),$1.01,-0.21%,-0.79%,+0.60%,"$45,699,727","$4,252,058 (4,196,416 GHST)","45,096,312 GHST"
MyNeighborAlice (ALICE),$1.09,-0.25%,+0.98%,-14.48%,"$45,300,509","$9,958,643 (9,098,913 ALICE)","41,468,157 ALICE"
Verge (XVG),$0.002725,+0.03%,+0.35%,+4.10%,"$44,986,336","$673,750 (247,223,276 XVG)","16,515,271,788 XVG"
Ark (ARK),$0.2648,+0.41%,+1.64%,-11.88%,"$44,869,623","$7,742,133 (29,233,846 ARK)","169,776,776 ARK"
Uquid Coin (UQC),$4.42,+0.13%,-0.24%,-5.48%,"$44,419,464","$2,395,183 (541,724 UQC)","10,000,000 UQC"
Adshares (ADS),$1.28,-0.02%,+0.06%,-2.58%,"$44,216,033","$211,647 (164,886 ADS)","34,223,308 ADS"
Origin Protocol (OGN),$0.08668,-0.32%,+1.06%,-14.71%,"$43,652,788","$8,472,379 (97,743,794 OGN)","503,634,606 OGN"
Chainbing (CBG),$1.32,+0.00%,-0.31%,-8.51%,"$43,497,191","$4,195 (3,183 CBG)","33,000,000 CBG"
Dawn Protocol (DAWN),$0.5831,+0.04%,-1.37%,-6.87%,"$43,417,911","$3,008,069 (5,158,775 DAWN)","74,464,266 DAWN"
Saitama (SAITAMA),$0.001123,-0.23%,+1.28%,-2.24%,"$43,350,164","$442,765 (393,961,531 SAITAMA)","38,605,752,722 SAITAMA"
Serum (SRM),$0.1643,+3.21%,+2.87%,-20.88%,"$43,278,825","$12,017,275 (73,122,406 SRM)","263,244,669 SRM"
Celo Dollar (CUSD),$1.00,-0.12%,+0.42%,+0.21%,"$43,082,668","$953,844 (955,641 CUSD)","43,100,157 CUSD"
Beta Finance (BETA),$0.06937,-1.57%,+7.53%,-4.05%,"$42,781,338","$17,401,096 (250,161,957 BETA)","616,666,667 BETA"
Aergo (AERGO),$0.09901,+0.22%,-0.25%,-8.82%,"$42,562,982","$3,728,999 (37,603,859 AERGO)","430,000,000 AERGO"
XCAD Network (XCAD),$1.24,-0.37%,+9.22%,+24.67%,"$42,435,920","$2,528,156 (2,044,204 XCAD)","34,350,819 XCAD"
WhiteCoin (XWC),$0.05532,-0.01%,+2.27%,-3.42%,"$42,085,308","$704,877 (12,741,978 XWC)","762,234,978 XWC"
DODO (DODO),$0.09986,+0.06%,-0.09%,-13.92%,"$42,072,475","$4,382,346 (43,797,645 DODO)","421,298,431 DODO"
Battle World (BWO),$0.6665,+0.28%,-3.23%,-3.50%,"$41,897,985","$1,459,063 (2,189,294 BWO)","62,910,145 BWO"
Alien Worlds (TLM),$0.01257,-0.27%,-0.33%,-18.04%,"$41,574,870","$3,422,082 (271,852,765 TLM)","3,309,112,368 TLM"
Axelar (AXL),$0.4382,-0.08%,+6.00%,-18.38%,"$41,619,985","$1,042,355 (2,379,087 AXL)","95,004,935 AXL"
VeThor Token (VTHO),$0.0009096,-0.27%,+0.85%,-10.92%,"$41,495,135","$861,089 (945,691,564 VTHO)","45,630,180,356 VTHO"
StormX (STMX),$0.004121,+0.06%,-0.08%,-13.14%,"$41,193,741","$2,411,167 (581,761,205 STMX)","10,000,000,000 STMX"
Ampleforth Governance Token (FORTH),$2.76,-0.32%,-2.45%,-17.92%,"$41,380,465","$1,418,681 (513,716 FORTH)","14,982,364 FORTH"
Seedify.fund (SFUND),$0.9073,-0.05%,-1.48%,-10.06%,"$41,177,960","$2,633,304 (2,898,221 SFUND)","45,366,782 SFUND"
Efinity Token (EFI),$0.07294,-0.24%,-3.98%,-11.21%,"$41,207,111","$712,129 (9,745,841 EFI)","563,484,806 EFI"
MARBLEX (MBX),$1.13,-0.04%,-0.11%,-5.90%,"$40,891,803","$920,092 (812,109 MBX)","36,091,774 MBX"
mStable USD (MUSD),$0.9946,+0.00%,--,+0.00%,"$40,862,794",--,"41,085,970 MUSD"
SOMESING (SSX),$0.01478,+0.02%,+2.46%,-3.85%,"$40,156,093","$743,004 (50,264,868 SSX)","2,717,369,974 SSX"
ASD (ASD),$0.0608,+0.15%,-0.74%,-21.31%,"$40,115,001","$2,017,534 (33,182,783 ASD)","660,615,274 ASD"
RSK Infrastructure Framework (RIF),$0.04267,-0.52%,-2.15%,-16.08%,"$39,829,451","$362,895 (8,502,355 RIF)","933,400,003 RIF"
Alchemy Pay (ACH),$0.007776,-0.12%,+0.45%,-11.20%,"$39,498,334","$7,560,409 (971,809,601 ACH)","5,082,155,932 ACH"
Coin98 (C98),$0.1813,+0.21%,-2.52%,-18.86%,"$39,341,769","$6,305,419 (34,672,725 C98)","216,944,444 C98"
Utrust (UTK),$0.07849,+0.23%,+0.30%,-12.54%,"$39,261,439","$2,387,814 (30,419,421 UTK)","500,000,000 UTK"
Moonriver (MOVR),$6.58,-0.00%,-0.17%,-11.91%,"$38,903,999","$1,621,633 (246,085 MOVR)","5,913,514 MOVR"
smARTOFGIVING (AOG),$0.5257,+0.23%,+2.82%,+6.44%,"$38,809,587","$40,055 (76,193 AOG)","73,780,484 AOG"
Enzyme (MLN),$19.04,-0.03%,-0.68%,-7.43%,"$38,823,279","$2,579,340 (135,588 MLN)","2,038,518 MLN"
Propy (PRO),$0.4717,+0.86%,+20.38%,+21.98%,"$38,681,531","$1,467,879 (3,111,724 PRO)","82,050,200 PRO"
GlitzKoin (GTN),$0.1559,-0.00%,+0.08%,-7.38%,"$38,591,755",$3 (20 GTN),"247,499,428 GTN"
Chrono.tech (TIME),$54.11,-0.34%,+2.03%,-16.62%,"$38,470,424","$977,061 (18,058 TIME)","710,112 TIME"
